Rank,Finalworth,Category,Personname,Age,Birthyear,City,Source,Industries,Countryofcitizenship,Organization,Selfmade,Status,Gender,Title,State,Residencestateregion, CPI Country, CPI Change Country (%),GDP Country,Gross Tertiary Education Enrollment (%),Gross Primary Education Enrollment Country,Life Expectancy Country (%),Tax Revenue Country Country (%),Total Tax Rate Country (%),Population Country
1434,2100,Food & Beverage,Wei Ing-Chou,50,1972,Tianjin,"Food, beverages",Food & Beverage,Taiwan,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1434,2100,Food & Beverage,Wei Yin-Chun,54,1968,Taipei,"Food, beverages",Food & Beverage,Taiwan,-,TRUE,U,M,-,-,-,-,-,-,-,-,-,-,-,-
1434,2100,Food & Beverage,Wei Yin-Heng,69,1953,Shanghai,"Food, beverages",Food & Beverage,Taiwan,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1434,2100,Food & Beverage,Wei Ying-Chiao,66,1957,Taipei,"Food, beverages",Food & Beverage,Taiwan,-,TRUE,U,M,-,-,-,-,-,-,-,-,-,-,-,-
1434,2100,Gambling & Casinos,Elaine Wynn,64,1959,Las Vegas,"Casinos, hotels",Gambling & Casinos,United States,"Wynn Las Vegas, LLC",TRUE,U,F,Board Member,Nevada,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1434,2100,Automotive,Xu Xudong & family,68,1955,Ningbo,Auto parts,Automotive,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1434,2100,Fashion & Retail,Michael Ying,80,1942,Hong Kong,Retail,Fashion & Retail,Hong Kong,-,TRUE,U,M,-,-,-,-,-,-,-,-,-,-,-,-
1434,2100,Manufacturing,Yu Qibing & family,53,1970,Ningbo,Glass,Manufacturing,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1434,2100,Manufacturing,Yuan Fugen & family,73,1949,Suzhou,Metal processing,Manufacturing,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1434,2100,Manufacturing,Zhang Ning & family,57,1965,Shanghai,Chemicals,Manufacturing,Canada,-,TRUE,D,F,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1434,2100,Healthcare,Zhao Tao,72,1950,Xi'an,Pharmaceuticals,Healthcare,Singapore,-,FALSE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Construction & Engineering,Anu Aga,49,1974,Pune,Engineering,Construction & Engineering,India,-,FALSE,U,F,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
1516,2000,Fashion & Retail,Mohamed Al Fayed,57,1966,London,"Retail, investments",Fashion & Retail,Egypt,-,TRUE,D,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
1516,2000,Technology,Andrey Andreev,80,1942,London,Online dating,Technology,United Kingdom,-,TRUE,E,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
1516,2000,Finance & Investments,Michael Ashcroft,94,1929,Turks and Caicos Islands,Security,Finance & Investments,United Kingdom,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
1516,2000,Technology,Pavel Baudis,49,1974,Prague,Software,Technology,Czech Republic,-,TRUE,D,M,-,-,-,116.48,2.8,"$246,489,245,495 ",64.1,100.7,79,14.9,46.1,10669709
1516,2000,Healthcare,Wilhelm Beier & family,77,1946,-,Pharmaceuticals,Healthcare,Germany,-,TRUE,D,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
1516,2000,Manufacturing,Cao Jianwei,62,1960,Shangyu,Semiconductors,Manufacturing,China,-,TRUE,E,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Manufacturing,Huwen Chen,66,1956,Shanghai,Stationery,Manufacturing,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Diversified,Phongthep Chiaravanont,44,1978,Bangkok,Diversified,Diversified,Thailand,-,FALSE,U,M,-,-,-,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582
1516,2000,Diversified,Dou Zhenggang,52,1970,Hangzhou,"Energy, chemicals",Diversified,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Food & Beverage,Maria Franca Fissolo,71,1952,Monaco,"Nutella, chocolates",Food & Beverage,Italy,-,FALSE,E,F,-,-,-,-,-,"$7,184,844,193 ",-,-,-,-,-,38964
1516,2000,Diversified,William Franke,69,1953,Houston,Low-cost airlines,Diversified,United States,-,TRUE,D,M,-,Texas,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Healthcare,Mario Germano Giuliani,88,1935,Monaco,Pharmaceuticals,Healthcare,Switzerland,-,FALSE,D,M,-,-,-,-,-,"$7,184,844,193 ",-,-,-,-,-,38964
1516,2000,Real Estate,Amy Goldman Fowler,85,1937,Rhinebeck,Real estate,Real Estate,United States,-,FALSE,D,F,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Metals & Mining,John Hancock,51,1972,London,Mining,Metals & Mining,Australia,-,FALSE,D,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
1516,2000,Technology,Hu Yangzhong,68,1954,Hangzhou,Technology,Technology,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Manufacturing,Huang Dawen,47,1976,Hong Kong,Silicon,Manufacturing,Hong Kong,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
1516,2000,Media & Entertainment,Huang Qiaoling,58,1965,Hangzhou,Amusement parks,Media & Entertainment,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Finance & Investments,Rajiv Jain,62,1960,Fort Lauderdale,Finance,Finance & Investments,United States,-,TRUE,N,M,-,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Sports,Michael Jordan,64,1958,Jupiter,"Charlotte Hornets, endorsements",Sports,United States,-,TRUE,U,M,Athlete,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Real Estate,Diane Kemper,55,1968,New York,Real estate,Real Estate,United States,-,FALSE,D,F,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Technology,Shlomo Kramer,60,1963,Tel Aviv,"Software, investments",Technology,Israel,-,TRUE,D,M,-,-,-,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300
1516,2000,Healthcare,Heikki Kyostila,77,1945,Helsinki,Dental products,Healthcare,Finland,-,TRUE,U,M,-,-,-,112.33,1,"$268,761,201,365 ",88.2,100.2,81.7,20.8,36.6,5520314
1516,2000,Technology,Martin Lau,57,1966,Hong Kong,E-commerce,Technology,Hong Kong,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
1516,2000,Technology,Li Min,77,1946,Fuzhou,Semiconductor,Technology,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Technology,Liang Rubo,50,1973,Beijing,TikTok,Technology,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Manufacturing,Liang Zhaoxian,57,1965,Foshan,Appliances,Manufacturing,China,-,FALSE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Energy,Lin Fanlian,40,1983,Linyi,"Energy, real estate",Energy,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Manufacturing,Aloke Lohia,58,1965,Bangkok,Petrochemicals,Manufacturing,India,-,FALSE,D,M,-,-,-,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582
1516,2000,Real Estate,Bill Malhotra,61,1961,Ottawa,Real estate,Real Estate,Canada,-,TRUE,U,M,-,-,-,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981
1516,2000,Finance & Investments,Alexander Mamut,64,1958,Tel Aviv,Investments,Finance & Investments,Russia,-,TRUE,D,M,-,-,-,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300
1516,2000,Telecom,Craig McCaw,73,1949,Hunts Point,Telecom,Telecom,United States,-,FALSE,D,M,-,Washington,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Manufacturing,Cunhui Nan,63,1960,Wenzhou,Power equipment,Manufacturing,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Service,Tengyun Nie & family,73,1949,Shanghai,Logistics,Service,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Finance & Investments,Oei Hong Leong,59,1963,Singapore,Investments,Finance & Investments,Singapore,-,FALSE,U,M,-,-,-,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21,5703569
1516,2000,Metals & Mining,Clive Palmer,47,1976,Brisbane,Mining,Metals & Mining,Australia,-,TRUE,D,M,-,-,-,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605
1516,2000,Technology,Matthew Prince,75,1948,Park City,Cybersecurity,Technology,United States,-,TRUE,D,M,-,Utah,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Service,Linda Pritzker,69,1954,Missoula,"Hotels, investments",Service,United States,-,FALSE,E,F,-,Montana,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Construction & Engineering,P.V. Krishna Reddy,48,1975,Hyderabad,Infrastructure,Construction & Engineering,India,-,TRUE,U,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
1516,2000,Metals & Mining,Bianca Rinehart,69,1953,Brisbane,Mining,Metals & Mining,Australia,-,FALSE,D,F,-,-,-,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605
1516,2000,Metals & Mining,Ginia Rinehart,53,1969,Sydney,Mining,Metals & Mining,Australia,-,FALSE,D,F,-,-,-,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605
1516,2000,Finance & Investments,T. Denny Sanford,46,1977,Sioux Falls,"Banking, credit cards",Finance & Investments,United States,-,TRUE,D,M,-,South Dakota,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Manufacturing,Bhadresh Shah,36,1986,Ahmedabad,Engineering,Manufacturing,India,-,TRUE,U,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
1516,2000,Media & Entertainment,Zygmunt Solorz-Zak,87,1935,Warsaw,TV broadcasting,Media & Entertainment,Poland,-,TRUE,D,M,-,-,-,114.11,2.2,"$592,164,400,688 ",67.8,100,77.6,17.4,40.8,37970874
1516,2000,Manufacturing,Michal Strnad,71,1951,-,Defense Contracting,Manufacturing,Czech Republic,-,FALSE,N,M,-,-,-,-,-,-,-,-,-,-,-,-
1516,2000,Fashion & Retail,Sylvia Stroeher,66,1956,Darmstadt,Cosmetics,Fashion & Retail,Germany,-,FALSE,E,F,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
1516,2000,Technology,Otto Toto Sugiri,30,1992,Jakarta,Data centers,Technology,Indonesia,-,TRUE,D,M,-,-,-,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917
1516,2000,Sports,Larry Tanenbaum,67,1955,Toronto,Sports,Sports,Canada,-,TRUE,N,M,-,-,-,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981
1516,2000,Finance & Investments,Wichai Thongtang,69,1953,Bangkok,Investments,Finance & Investments,Thailand,-,TRUE,E,M,-,-,-,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582
1516,2000,Finance & Investments,Ion Tiriac,77,1945,Bucharest,"Banking, insurance",Finance & Investments,Romania,-,TRUE,U,M,-,-,-,123.78,3.8,"$250,077,444,017 ",49.4,85.2,75.4,14.6,20,19356544
1516,2000,Metals & Mining,Hope Welker,76,1947,New York,Mining,Metals & Mining,Australia,-,FALSE,D,F,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Manufacturing,William Young,83,1939,Ypsilanti,Plastics,Manufacturing,United States,-,TRUE,D,M,-,Michigan,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1516,2000,Fashion & Retail,Ales Zavoral,37,1985,-,E-commerce,Fashion & Retail,Czech Republic,-,TRUE,N,M,-,-,-,-,-,-,-,-,-,-,-,-
1516,2000,Technology,Zhang Fan,82,1941,Shenzhen,Touch screens,Technology,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Technology,Shilong Zhang & family,46,1976,Beijing,Semiconductor,Technology,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Manufacturing,Zhang Wanzhen,57,1965,Chaozhou,Electronics components,Manufacturing,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Technology,Hongfei Zhao,57,1966,Beijing,Software,Technology,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Energy,Zhou Jian,73,1949,Shenzhen,Solar energy equipment,Energy,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1516,2000,Healthcare,Zhu Yiwen & family,48,1974,Shanghai,Healthcare,Healthcare,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Diversified,Roberto Angelini Rossi,46,1976,Santiago,"Forestry, mining",Diversified,Chile,-,FALSE,U,M,-,-,-,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038
1575,1900,Energy,Mika Anttonen,59,1964,Helsinki,Oil & gas,Energy,Finland,-,TRUE,U,M,-,-,-,112.33,1,"$268,761,201,365 ",88.2,100.2,81.7,20.8,36.6,5520314
1575,1900,Sports,David Blitzer,74,1948,New York,Sports,Sports,United States,-,TRUE,N,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Finance & Investments,Julio Bozano,56,1966,Rio de Janeiro,Banking,Finance & Investments,Brazil,-,TRUE,D,M,-,-,-,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417
1575,1900,Energy,Nikolai Buinov,53,1969,Irkutsk,"Oil, gas",Energy,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
1575,1900,Fashion & Retail,Nicola Bulgari,87,1936,Rome,Luxury goods,Fashion & Retail,Italy,-,FALSE,E,M,-,-,-,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396
1575,1900,Fashion & Retail,"Howard Butt, III. & family",55,1967,San Antonio,Supermarkets,Fashion & Retail,United States,-,FALSE,N,M,-,Texas,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Fashion & Retail,Stephen Butt & family,82,1941,-,Supermarkets,Fashion & Retail,United States,-,FALSE,N,M,-,-,-,-,-,-,-,-,-,-,-,-
1575,1900,Fashion & Retail,Jianxing Che,71,1952,Shanghai,Furniture retailing,Fashion & Retail,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Manufacturing,Huxiong Chen,67,1955,Shanghai,Stationery,Manufacturing,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Energy,Chen Qiongxiang,56,1966,Ningde,Batteries,Energy,China,-,TRUE,D,F,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Technology,Chen Zhisong,52,1970,Xiamen,Communication equipment,Technology,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Diversified,Manas Chiaravanond, -, -,Bangkok,Diversified,Diversified,Thailand,-,FALSE,U,M,-,-,-,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582
1575,1900,Diversified,Prathip Chiravanond,57,1966,Bangkok,Diversified,Diversified,Thailand,-,FALSE,R,M,-,-,-,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582
1575,1900,Food & Beverage,Alexandra Daitch,68,1956,Old Lyme,Cargill,Food & Beverage,United States,-,FALSE,D,F,-,Connecticut,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Food & Beverage,Sol Daurella,74,1948,Madrid,Coca-Cola bottler,Food & Beverage,Spain,-,FALSE,U,F,-,-,-,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47,47076781
1575,1900,Sports,Mark Davis,60,1963,Henderson,Las Vegas Raiders,Sports,United States,-,FALSE,N,M,-,Nevada,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Finance & Investments,James Dinan,57,1966,North Salem,Hedge funds,Finance & Investments,United States,York Capital Management,TRUE,E,M,Founder,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Healthcare,Dong Fan,67,1955,Zhuhai,Medical devices,Healthcare,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Automotive,Fritz Draexlmaier,63,1959,Landshut,Auto parts,Automotive,Germany,-,FALSE,U,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
1575,1900,Diversified,Bulent Eczacibasi,53,1970,Istanbul,"Pharmaceuticals, diversified",Diversified,Turkey,-,FALSE,U,M,-,-,-,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615
1575,1900,Diversified,Faruk Eczacibasi,69,1955,Istanbul,"Pharmaceuticals, diversified",Diversified,Turkey,-,FALSE,U,M,-,-,-,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615
1575,1900,Diversified,Eduardo Eurnekian,73,1949,Buenos Aires,"Airports, investments",Diversified,Argentina,-,TRUE,U,M,-,-,-,232.75,53.5,"$449,663,446,954 ",90,109.7,76.5,10.1,106.3,44938712
1575,1900,Real Estate,David Fong,68,1954,Hong Kong,Real estate,Real Estate,Hong Kong,-,FALSE,N,M,-,-,-,-,-,-,-,-,-,-,-,-
1575,1900,Fashion & Retail,Guo Zhenyu & family,90,1932,Kunming,Cosmetics,Fashion & Retail,Canada,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Manufacturing,Surjit Kumar Gupta,65,1957,Delhi,Electrical equipment,Manufacturing,India,-,FALSE,U,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
1575,1900,Diversified,Caroline Hagen Kjos,59,1963,Wollerau,Conglomerate,Diversified,Norway,-,FALSE,D,F,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
1575,1900,Finance & Investments,Roberto Hernandez Ramirez,81,1942,Mexico City,"Banking, investments",Finance & Investments,Mexico,-,TRUE,E,M,-,-,-,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024
1575,1900,Technology,Reid Hoffman,39,1984,Palo Alto,LinkedIn,Technology,United States,Greylock,TRUE,D,M,Partner,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Manufacturing,Hu Rongda & family,81,1942,Jinhua,Chemicals,Manufacturing,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Real Estate,"B. Wayne Hughes, Jr.",55,1967,Jackson,Storage facilities,Real Estate,United States,-,FALSE,D,M,-,Wyoming,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Real Estate,Hui Wing Mau,64,1959,Hong Kong,Real estate,Real Estate,Hong Kong,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
1575,1900,Finance & Investments,Scott Kapnick,63,1959,Naples,Private equity,Finance & Investments,United States,-,TRUE,U,M,Investor,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Finance & Investments,Richard Kayne,72,1950,Santa Monica,Investments,Finance & Investments,United States,-,TRUE,U,M,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Finance & Investments,Dominika Kulczyk,64,1959,London,Diversified,Finance & Investments,Poland,-,FALSE,U,F,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
1575,1900,Finance & Investments,Edward Lampert,77,1946,Miami Beach,Sears,Finance & Investments,United States,ESL Investments Inc.,TRUE,U,M,Founder,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Diversified,Somsri Lamsam,45,1977,Bangkok,Diversified,Diversified,Thailand,-,FALSE,N,M,-,-,-,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582
1575,1900,Food & Beverage,James Leprino,60,1962,Indian Hills,Cheese,Food & Beverage,United States,Leprino Foods,FALSE,D,M,Chairman,Colorado,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Real Estate,David Lichtenstein,69,1955,Monsey,Real estate,Real Estate,United States,-,TRUE,E,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Real Estate,Lin Dingqiang & family,85,1937,Beijing,Real estate,Real Estate,Hong Kong,-,TRUE,E,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Food & Beverage,Sarah MacMillan,61,1961,Los Angeles,Cargill,Food & Beverage,United States,-,FALSE,D,F,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Telecom,Strive Masiyiwa,56,1966,London,Telecom,Telecom,Zimbabwe,-,TRUE,D,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
1575,1900,Fashion & Retail,Robert Miller,69,1954,Hong Kong,Retail,Fashion & Retail,United Kingdom,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
1575,1900,Technology,Simon Nixon,62,1961,"St. Brelade, Jersey",Price comparison website,Technology,United Kingdom,-,TRUE,U,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
1575,1900,Food & Beverage,Kentaro Ogawa,89,1933,Tokyo,Restaurants,Food & Beverage,Japan,-,TRUE,U,M,-,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
1575,1900,Manufacturing,Ajay Parekh,55,1967,Mumbai,Adhesives,Manufacturing,India,-,FALSE,D,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
1575,1900,Manufacturing,Narendrakumar Parekh,74,1948,Mumbai,Adhesives,Manufacturing,India,-,FALSE,D,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
1575,1900,Finance & Investments,Jennifer Pritzker,65,1957,Chicago,"Hotels, investments",Finance & Investments,United States,Tawani Enterprises,FALSE,D,F,CEO,Illinois,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Fashion & Retail,G. Rajendran,84,1938,Chennai,Jewellery,Fashion & Retail,India,-,TRUE,U,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
1575,1900,Manufacturing,Ren Jianhua,72,1950,Hangzhou,Kitchen appliances,Manufacturing,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Finance & Investments,Larry Robbins,80,1942,Alpine,Hedge funds,Finance & Investments,United States,Glenview Capital Management,TRUE,E,M,Investor,New Jersey,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Construction & Engineering,Dwight Schar,66,1956,Palm Beach,"Homebuilding, NFL team",Construction & Engineering,United States,-,TRUE,E,M,-,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
1575,1900,Energy,Shao Jianxiong,53,1969,Hangzhou,Photovoltaics,Energy,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Manufacturing,Qinxiang Shao,81,1942,Hangzhou,Diversified,Manufacturing,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
1575,1900,Technology,Hua Shen, -, -,Jiaxing,Semiconductors,Technology,United States,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
