Rank,Finalworth,Category,Personname,Age,Birthyear,City,Source,Industries,Countryofcitizenship,Organization,Selfmade,Status,Gender,Title,State,Residencestateregion, CPI Country, CPI Change Country (%),GDP Country,Gross Tertiary Education Enrollment (%),Gross Primary Education Enrollment Country,Life Expectancy Country (%),Tax Revenue Country Country (%),Total Tax Rate Country (%),Population Country
35,35000,Gambling & Casinos,Miriam Adelson & family,77,1945,Las Vegas,Casinos,Gambling & Casinos,United States,-,FALSE,U,F,-,Nevada,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
35,35000,Finance & Investments,Ken Griffin,54,1968,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,TRUE,U,M,Founder & CEO,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
37,34700,Food & Beverage,Mark Mateschitz,30,1992,Salzburg,Red Bull,Food & Beverage,Austria,-,FALSE,N,M,-,-,-,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067
38,33400,Automotive,Robin Zeng,54,1969,Ningde,Batteries,Automotive,Hong Kong,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
39,32600,Fashion & Retail,Tadashi Yanai & family,74,1949,Tokyo,Fashion retail,Fashion & Retail,Japan,-,TRUE,U,M,-,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
40,32100,Diversified,Len Blavatnik,65,1957,London,"Music, chemicals",Diversified,United States,-,TRUE,D,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
41,31600,Fashion & Retail,Alain Wertheimer,74,1948,New York,Chanel,Fashion & Retail,France,-,FALSE,U,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
41,31600,Fashion & Retail,Gerard Wertheimer,72,1951,New York,Chanel,Fashion & Retail,France,-,FALSE,U,M,-,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
43,31200,Logistics,Gianluigi Aponte,82,1940,Geneva,Shipping,Logistics,Switzerland,-,TRUE,Split Family Fortune,M,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
43,31200,Logistics,Rafaela Aponte-Diamant,78,1945,Geneva,Shipping,Logistics,Switzerland,-,TRUE,Split Family Fortune,F,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
45,30200,Technology,Colin Zheng Huang,43,1980,Shanghai,E-commerce,Technology,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
46,29700,Manufacturing,Reinhold Wuerth & family,87,1935,Kuenzelsau,Fasteners,Manufacturing,Germany,-,TRUE,U,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
47,29500,Real Estate,Lee Shau Kee,95,1928,Hong Kong,Real estate,Real Estate,Hong Kong,-,TRUE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
48,28500,Finance & Investments,Jeff Yass,64,1958,Haverford,"Trading, investments",Finance & Investments,United States,-,TRUE,U,M,-,Pennsylvania,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
49,28100,Finance & Investments,Jim Simons,84,1938,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,TRUE,D,M,Founder,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
50,27800,Finance & Investments,Stephen Schwarzman,76,1947,New York,Investments,Finance & Investments,United States,Blackstone Group,TRUE,D,M,Chairman and CEO,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
